,xmin,ymin
733,-732670,-1064254
734,-732670,-1056062
735,-732670,-1047870
736,-732670,-1039678
737,-732670,-1031486
738,-732670,-1023294
739,-732670,-1015102
740,-732670,-1006910
741,-732670,-998718
742,-732670,-990526
743,-732670,-982334
744,-732670,-974142
745,-732670,-965950
746,-732670,-957758
747,-732670,-949566
748,-732670,-941374
749,-724478,-1211710
750,-724478,-1203518
751,-724478,-1195326
752,-724478,-1187134
753,-724478,-1178942
754,-724478,-1170750
755,-724478,-1162558
756,-724478,-1154366
757,-724478,-1146174
758,-724478,-1137982
759,-724478,-1129790
760,-724478,-1121598
761,-724478,-1113406
762,-724478,-1105214
763,-724478,-1097022
764,-724478,-1088830
765,-724478,-1080638
766,-724478,-1072446
767,-724478,-1064254
768,-724478,-1056062
769,-724478,-1047870
770,-724478,-1039678
771,-724478,-1031486
772,-724478,-1023294
773,-724478,-1015102
774,-724478,-1006910
775,-724478,-998718
776,-724478,-990526
777,-724478,-982334
778,-724478,-974142
779,-724478,-965950
780,-724478,-957758
781,-724478,-949566
782,-724478,-941374
783,-716286,-1211710
784,-716286,-1203518
785,-716286,-1195326
786,-716286,-1187134
787,-716286,-1178942
788,-716286,-1170750
789,-716286,-1162558
790,-716286,-1154366
791,-716286,-1146174
792,-716286,-1137982
793,-716286,-1129790
794,-716286,-1121598
795,-716286,-1113406
796,-716286,-1105214
797,-716286,-1097022
798,-716286,-1088830
799,-716286,-1080638
800,-716286,-1072446
801,-716286,-1064254
802,-716286,-1056062
803,-716286,-1047870
804,-716286,-1039678
805,-716286,-1031486
806,-716286,-1023294
807,-716286,-1015102
808,-716286,-1006910
809,-716286,-998718
810,-716286,-990526
811,-716286,-982334
812,-716286,-974142
813,-716286,-965950
814,-716286,-957758
815,-716286,-949566
816,-716286,-941374
817,-708094,-1211710
818,-708094,-1203518
819,-708094,-1195326
820,-708094,-1187134
821,-708094,-1178942
822,-708094,-1170750
823,-708094,-1162558
824,-708094,-1154366
825,-708094,-1146174
826,-708094,-1137982
827,-708094,-1129790
828,-708094,-1121598
829,-708094,-1113406
830,-708094,-1105214
831,-708094,-1097022
832,-708094,-1088830
833,-708094,-1080638
834,-708094,-1072446
835,-708094,-1064254
836,-708094,-1056062
837,-708094,-1047870
838,-708094,-1039678
839,-708094,-1031486
840,-708094,-1023294
841,-708094,-1015102
842,-708094,-1006910
843,-708094,-998718
844,-708094,-990526
845,-708094,-982334
846,-708094,-974142
847,-708094,-965950
848,-708094,-957758
849,-708094,-949566
850,-708094,-941374
851,-699902,-1211710
852,-699902,-1203518
853,-699902,-1195326
854,-699902,-1187134
855,-699902,-1178942
856,-699902,-1170750
857,-699902,-1162558
858,-699902,-1154366
859,-699902,-1146174
860,-699902,-1137982
861,-699902,-1129790
862,-699902,-1121598
863,-699902,-1113406
864,-699902,-1105214
865,-699902,-1097022
866,-699902,-1088830
867,-699902,-1080638
868,-699902,-1072446
869,-699902,-1064254
870,-699902,-1056062
871,-699902,-1047870
872,-699902,-1039678
873,-699902,-1031486
874,-699902,-1023294
875,-699902,-1015102
876,-699902,-1006910
877,-699902,-998718
878,-699902,-990526
879,-699902,-982334
880,-699902,-974142
881,-699902,-965950
882,-699902,-957758
883,-699902,-949566
884,-699902,-941374
885,-691710,-1211710
886,-691710,-1203518
887,-691710,-1195326
888,-691710,-1187134
889,-691710,-1178942
890,-691710,-1170750
891,-691710,-1162558
892,-691710,-1154366
893,-691710,-1146174
894,-691710,-1137982
895,-691710,-1129790
896,-691710,-1121598
897,-691710,-1113406
898,-691710,-1105214
899,-691710,-1097022
900,-691710,-1088830
901,-691710,-1080638
902,-691710,-1072446
903,-691710,-1064254
904,-691710,-1056062
905,-691710,-1047870
906,-691710,-1039678
907,-691710,-1031486
908,-691710,-1023294
909,-691710,-1015102
910,-691710,-1006910
911,-691710,-998718
912,-691710,-990526
913,-691710,-982334
914,-691710,-974142
915,-691710,-965950
916,-691710,-957758
917,-691710,-949566
918,-691710,-941374
919,-683518,-1211710
920,-683518,-1203518
921,-683518,-1195326
922,-683518,-1187134
923,-683518,-1178942
924,-683518,-1170750
925,-683518,-1162558
926,-683518,-1154366
927,-683518,-1146174
928,-683518,-1137982
929,-683518,-1129790
930,-683518,-1121598
931,-683518,-1113406
932,-683518,-1105214
933,-683518,-1097022
934,-683518,-1088830
935,-683518,-1080638
936,-683518,-1072446
937,-683518,-1064254
938,-683518,-1056062
939,-683518,-1047870
940,-683518,-1039678
941,-683518,-1031486
942,-683518,-1023294
943,-683518,-1015102
944,-683518,-1006910
945,-683518,-998718
946,-683518,-990526
947,-683518,-982334
948,-683518,-974142
949,-683518,-965950
950,-683518,-957758
951,-683518,-949566
952,-683518,-941374
953,-675326,-1211710
954,-675326,-1203518
955,-675326,-1195326
956,-675326,-1187134
957,-675326,-1178942
958,-675326,-1170750
959,-675326,-1162558
960,-675326,-1154366
961,-675326,-1146174
962,-675326,-1137982
963,-675326,-1129790
964,-675326,-1121598
965,-675326,-1113406
966,-675326,-1105214
967,-675326,-1097022
968,-675326,-1088830
969,-675326,-1080638
970,-675326,-1072446
971,-675326,-1064254
972,-675326,-1056062
973,-675326,-1047870
974,-675326,-1039678
975,-675326,-1031486
976,-675326,-1023294
977,-675326,-1015102
978,-675326,-1006910
979,-675326,-998718
980,-675326,-990526
981,-675326,-982334
982,-675326,-974142
983,-675326,-965950
984,-675326,-957758
985,-675326,-949566
986,-675326,-941374
987,-667134,-1211710
988,-667134,-1203518
989,-667134,-1195326
990,-667134,-1187134
991,-667134,-1178942
992,-667134,-1170750
993,-667134,-1162558
994,-667134,-1154366
995,-667134,-1146174
996,-667134,-1137982
997,-667134,-1129790
998,-667134,-1121598
999,-667134,-1113406
1000,-667134,-1105214
1001,-667134,-1097022
1002,-667134,-1088830
1003,-667134,-1080638
1004,-667134,-1072446
1005,-667134,-1064254
1006,-667134,-1056062
1007,-667134,-1047870
1008,-667134,-1039678
1009,-667134,-1031486
1010,-667134,-1023294
1011,-667134,-1015102
1012,-667134,-1006910
1013,-667134,-998718
1014,-667134,-990526
1015,-667134,-982334
1016,-667134,-974142
